Invoice ,Date,Due Date,Reference,Combined,Gross,Balance,Status,Source,Invoice Sent,matches
INV-98494,09 Dec 2024,13 Jan 2025,Alaska 104 Tradify JB31148,INV-98494Alaska 104 Tradify JB31148,"1,766.54",0,Paid,Receivable Invoice,Not sent,
INV-97574,10 Dec 2024,15 Dec 2024,Alaska 2024 Nov. management fees,INV-97574Alaska 2024 Nov. management fees,"2,112.00",0,Paid,Receivable Invoice,Sent,
INV-98480,18 Dec 2024,20 Dec 2024,alaska common: Tradify JB31616,INV-98480alaska common: Tradify JB31616,403,0,Paid,Receivable Invoice,Not sent,
INV-98481,18 Dec 2024,18 Dec 2024,Alaska Common: Tradify JB31615,INV-98481Alaska Common: Tradify JB31615,186,0,Paid,Receivable Invoice,Not sent,
INV-98477,18 Dec 2024,18 Dec 2024,Alaska 270: Tradify JB31620,INV-98477Alaska 270: Tradify JB31620,31,0,Paid,Receivable Invoice,Not sent,
INV-98478,18 Dec 2024,18 Dec 2024,Alaska Common: Tradify JB31619,INV-98478Alaska Common: Tradify JB31619,62,0,Paid,Receivable Invoice,Not sent,
INV-97690,23 Dec 2024,23 Dec 2024,Alaska Common - Janitorial,INV-97690Alaska Common - Janitorial,"1,665.44",0,Paid,Receivable Invoice,Sent,
INV-98575,24 Dec 2024,30 Jan 2025,Alaska 101: Tradify JB31642,INV-98575Alaska 101: Tradify JB31642,46.5,0,Paid,Receivable Invoice,Not sent,
INV-98995,30 Dec 2024,30 Dec 2024,Alaska Common: Verizon Elevator Phone  12.10.2024 - 01.09.2025,INV-98995Alaska Common: Verizon Elevator Phone  12.10.2024 - 01.09.2025,25.65,0,Paid,Receivable Invoice,Sent,
INV-97846,31 Dec 2024,31 Dec 2024,Alaska Common - Janitorial,INV-97846Alaska Common - Janitorial,305.76,0,Paid,Receivable Invoice,Sent,
INV-98491,31 Dec 2024,31 Dec 2024,Alaska Common: Tradify JB31165,INV-98491Alaska Common: Tradify JB31165,31,0,Paid,Receivable Invoice,Not sent,
INV-98476,02 Jan 2025,02 Jan 2025,Alaska Common: Tradify JB31716,INV-98476Alaska Common: Tradify JB31716,15.5,0,Paid,Receivable Invoice,Not sent,
INV-98475,03 Jan 2025,03 Jan 2025,Alaska Common: Tradify JB31729,INV-98475Alaska Common: Tradify JB31729,31,0,Paid,Receivable Invoice,Not sent,
